vendor,display_name,official_website_status,official_website_url,sample_sku,search_url_template,search_result_mode,search_transport,search_parameter_name,platform_family,search_family,search_entry_mode,runtime_preference,http_search_allowed,browser_required,blocking_risk,verification_level,template_status,confidence_bucket,resolver_hint,product_fetch_mode,interaction_strategy,direct_url_sufficient,search_entry_url,search_container_selector,search_input_selector,search_submit_selector,result_container_selector,result_link_selector,result_match_mode,api_request_url_template,api_response_collection,api_result_id_field,api_result_sku_field,product_url_template,product_extraction_priority,media_strategy,notes
DieselSite,DieselSite,probable,https://www.dieselsite.com/,DS-4WD,https://www.dieselsite.com/search.aspx?find={sku},search_results,GET,find,aspnet_like,path_or_query_search,custom_route_template,browser_first,conditional,yes,low,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: No visible search input found
Dorman,Dorman,probable,https://www.dormanproducts.com/,DOR-600-202,https://www.dormanproducts.com/gsearch.aspx?type=oesearch&origin=oesearch&q={sku},search_results,GET,q,aspnet_like,path_or_query_search,custom_route_template,browser_first,conditional,yes,low,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: No visible search input found
Bosch,Bosch,probable,https://www.bosch.us/,BOS-HP004X,https://www.bosch.us/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,browser_first,conditional,yes,low,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: No visible search input found
T-Rex Grilles,T-Rex Grilles,confirmed,https://trexbillet.com/,TREX-51211,https://trexbillet.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,browser_first,conditional,yes,medium,verified,confirmed,high,manual_bigcommerce_form_validation,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Browser-validated search route; direct HTTP may hit human verification/405.
Wehrli Custom Fabrication,Wehrli Custom Fabrication,confirmed,https://www.wcfab.com/,WCF-WCF100165-GB,https://www.wcfab.com/search.html?q={sku},search_results,GET,q,bigcommerce_like,bigcommerce_search_html_q,catalog_or_storefront_search,browser_first,conditional,yes,medium,verified,confirmed,high,manual_bigcommerce_form_validation,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Browser-validated search route; direct HTTP may hit human verification/405.
Bilstein Shock Absorbers,Bilstein Shock Absorbers,probable,https://cart.bilsteinus.com/,BIL-24-158848,https://cart.bilsteinus.com/catalogue?typeofsearch=1&search_query_adv={sku},search_results,GET,search_query_adv,custom,path_or_query_search,custom_route_template,browser_first,conditional,yes,low,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: No visible search input found
Driven Diesel,Driven Diesel,probable,http://www.drivendiesel.com/,DD-73L-OBA,https://www.strictlydiesel.com/isearch3?searchterm={sku},search_results,GET,searchterm,custom,path_or_query_search,custom_route_template,browser_first,conditional,yes,low,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Vendor uses Strictly Diesel commerce search; cross-domain search route confirmed manually. Existing note: No visible search input found
Full Force Diesel,Full Force Diesel,probable,https://www.fullforcediesel.com/about-us/,FFD-FFD143,https://www.fullforcediesel.com/search?show_in_vexture=Yes&Search={sku},search_results,GET,Search,custom,path_or_query_search,custom_route_template,browser_first,conditional,yes,high,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: Bot challenge page
Kleinn Air Horns,Kleinn Air Horns,probable,https://kleinn.com/,KLN-6880,https://kleinn.com/pages/search-results-page?q={sku},search_results,GET,q,custom,path_or_query_search,custom_route_template,browser_first,conditional,yes,high,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: search-template fetch error: HTTP Error 429: Too Many Requests
SunCoast Performance,SunCoast Performance,confirmed,https://suncoastdiesel.com/,SC-68-1,https://suncoastdiesel.com/search-diesel.html?orientation=vertical&q={sku},search_results,GET,q,custom,path_or_query_search,custom_route_template,browser_first,conditional,yes,low,verified,confirmed,high,manual_user_seed,http_first_browser_fallback,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search URL from site search UI. Existing note: No visible search input found
